"gene","module"
"PCSK6","yellow"
"NDE1","yellow"
"TMC7","yellow"
"CCP110","yellow"
"GPRC5B","yellow"
"SLC5A11","yellow"
"CPNE2","yellow"
"PLLP","yellow"
"FA2H","yellow"
"ASPA","yellow"
"PMP22","yellow"
"MYO1D","yellow"
"TMEM98","yellow"
"ARHGAP23","yellow"
"CNP","yellow"
"ABCA8","yellow"
"SLC39A11","yellow"
"TTYH2","yellow"
"TMC6","yellow"
"AFMID","yellow"
"TMEM235","yellow"
"AATK","yellow"
"PIEZO2","yellow"
"NPC1","yellow"
"PHLPP1","yellow"
"CDH19","yellow"
"CNDP1","yellow"
"MBP","yellow"
"RASSF2","yellow"
"KIAA1755","yellow"
"PREX1","yellow"
"BCAS1","yellow"
"PLPP2","yellow"
"MAG","yellow"
"CD22","yellow"
"PPP1R14A","yellow"
"KLK6","yellow"
"POLR2F","yellow"
"SOX10","yellow"
"SUN2","yellow"
"OLIG1","yellow"
"CBR1","yellow"
"S100B","yellow"
"AJAP1","turquoise"
"CHD5","turquoise"
"CLSTN1","turquoise"
"SPEN","turquoise"
"NBPF1","turquoise"
"ATP13A2","turquoise"
"IGSF21","turquoise"
"CAPZB","turquoise"
"NBL1","turquoise"
"HP1BP3","turquoise"
"ECE1","turquoise"
"RAP1GAP","turquoise"
"EPHA8","turquoise"
"PITHD1","turquoise"
"STMN1","turquoise"
"IFI6","turquoise"
"EPB41","turquoise"
"PTPRU","turquoise"
"S100PBP","turquoise"
"FNDC5","turquoise"
"HPCA","turquoise"
"TRIM62","turquoise"
"DLGAP3","turquoise"
"C1orf122","turquoise"
"INPP5B","turquoise"
"HIVEP3","turquoise"
"CCDC30","turquoise"
"YBX1","turquoise"
"ATP6V0B","turquoise"
"PRDX1","turquoise"
"MAST2","turquoise"
"ELAVL4","turquoise"
"RNF11","turquoise"
"RAB3B","turquoise"
"ZYG11B","turquoise"
"LRP8","turquoise"
"ACOT11","turquoise"
"DAB1","turquoise"
"NFIA","turquoise"
"KANK4","turquoise"
"ROR1","turquoise"
"CACHD1","turquoise"
"RAVER2","turquoise"
"SGIP1","turquoise"
"TCTEX1D1","turquoise"
"LRRC7","turquoise"
"NEGR1","turquoise"
"ERICH3","turquoise"
"SLC44A5","turquoise"
"ST6GALNAC5","turquoise"
"ADGRL2","turquoise"
"SSX2IP","turquoise"
"DDAH1","turquoise"
"COL24A1","turquoise"
"HS2ST1","turquoise"
"HFM1","turquoise"
"TGFBR3","turquoise"
"EPHX4","turquoise"
"FNBP1L","turquoise"
"CNN3","turquoise"
"DPYD","turquoise"
"SNX7","turquoise"
"GPR88","turquoise"
"VAV3","turquoise"
"NBPF6","turquoise"
"AMIGO1","turquoise"
"STRIP1","turquoise"
"SLC6A17","turquoise"
"KCNC4","turquoise"
"NGF","turquoise"
"SRGAP2C","turquoise"
"SRGAP2B","turquoise"
"NBPF12","turquoise"
"PDE4DIP","turquoise"
"SV2A","turquoise"
"CDC42SE1","turquoise"
"MLLT11","turquoise"
"S100A6","turquoise"
"KCNN3","turquoise"
"BCAN","turquoise"
"ARHGEF11","turquoise"
"PEA15","turquoise"
"VANGL2","turquoise"
"NOS1AP","turquoise"
"PBX1","turquoise"
"DCAF6","turquoise"
"ATP1B1","turquoise"
"KIFAP3","turquoise"
"PRRX1","turquoise"
"TNR","turquoise"
"BRINP2","turquoise"
"RASAL2","turquoise"
"CEP350","turquoise"
"CACNA1E","turquoise"
"RGS8","turquoise"
"LAMC1","turquoise"
"C1orf21","turquoise"
"B3GALT2","turquoise"
"CRB1","turquoise"
"DENND1B","turquoise"
"NEK7","turquoise"
"KIF21B","turquoise"
"NAV1","turquoise"
"PTPN7","turquoise"
"KDM5B","turquoise"
"PLEKHA6","turquoise"
"MAPKAPK2","turquoise"
